Label,Primary Evidence Indexes,Secondary Evidence Indexes
Entailment,"Outcome Measurement:    Fraction of Patients With Increased Levels of Circulating Endothelial Cells   An exact 95% confidence interval (CI) will be calculated for the CEC response rate. With 26 patients, this CI will be no wider than 40% (e.g., if 13 of 26 patients respond, the CI is 30% to 70%).   Time frame: After 3 weeks of treatment Results 1:    Arm/Group Title: Treatment (Cediranib Maleate)   Arm/Group Description: Patients receive oral AZD2171 once daily for 42 days. Courses repeat every 42 days in the absence of disease progression or unacceptable toxicity.   Overall Number of Participants Analyzed: 26   Measure Type: Number   Unit of Measure: percentage of participants  30",nan
Contradiction,Outcome Measurement:    Lumbar Spine Bone Mineral Density Percent Change From Baseline at Month 12   Bone Mineral Density Assessed by Dual Energy X-Ray Absorptiometry.   Time frame: 12 months Results 1:    Arm/Group Title: Denosumab 60 mg Q6M   Arm/Group Description: [Not Specified]   Overall Number of Participants Analyzed: 123   Least Squares Mean (95% Confidence Interval)   Unit of Measure: Percent Change from Baseline  4.8        (4.3 to 5.4) Results 2:    Arm/Group Title: Placebo   Arm/Group Description: [Not Specified]   Overall Number of Participants Analyzed: 122   Least Squares Mean (95% Confidence Interval)   Unit of Measure: Percent Change from Baseline  -.7        (-1.3 to -.1),nan
Entailment,"Exclusion Criteria:   Concurrent treatment with an ovarian hormonal replacement therapy or with hormonal agents such as raloxifene, tamoxifen or other selective estrogen receptor modulator (SERM). Patients must have discontinued use of such agents prior to beginning study treatment. However, use of GNRH agonists for the purpose of fertility preservation or suppression of heavy menses is permitted (see Section 5.4.1).",nan
Contradiction,Adverse Events 1:   Skin infection * 1/36 (2.78%),Adverse Events 1:   Skin infection * 2/41 (4.88%)
Entailment,Inclusion Criteria:   Post-menopausal women at high risk for development of breast cancer   On a stable dose of hormone replacement therapy Exclusion Criteria:   Receiving treatment for rheumatoid arthritis or fibromyalgia   Current history of poorly controlled migraines or perimenopausal symptoms   Prior history of invasive breast cancer or other invasive cancer within five years from date of study entry.,nan
Contradiction,"Inclusion Criteria:   Eastern Cooperative Oncology Group (ECOG) or Karnofsky Performance Status 0,1,2.",Inclusion Criteria:   The participant is Japanese   The participant has an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
Contradiction,Adverse Events 1:   Total: 2/81 (2.47%)   Heart failure 0/81 (0.00%)   Fever 1/81 (1.23%)   Cold 0/81 (0.00%)   Catheter related infection (Bacteriemia) 0/81 (0.00%)   Lack of strength in left leg 0/81 (0.00%)   Ostenecrosis produced by biphosphonates 0/81 (0.00%)   Gastric cancer 0/81 (0.00%)   Stroke 0/81 (0.00%)   Hematuria 1/81 (1.23%)   Nodule in left breast 0/81 (0.00%) Adverse Events 2:   Total: 10/85 (11.76%)   Heart failure 1/85 (1.18%)   Fever 0/85 (0.00%)   Cold 1/85 (1.18%)   Catheter related infection (Bacteriemia) 1/85 (1.18%)   Lack of strength in left leg 1/85 (1.18%)   Ostenecrosis produced by biphosphonates 1/85 (1.18%)   Gastric cancer 1/85 (1.18%)   Stroke 1/85 (1.18%)   Hematuria 0/85 (0.00%)   Nodule in left breast 1/85 (1.18%),nan
Contradiction,"Outcome Measurement:    Clinical Benefit Response (Independent Reviewer-assessed)   CBR is defined as the percentage of participants receiving at least one dose of study medication who achieved a best overall response classified as a complete or partial (confirmed) tumor response or stable disease for at least 6 months (24 weeks). A ""complete response"" is defined as the disappearance of all target or non-target lesions, ""partial response"" and ""disease progression"" as at least a 30% decrease and at least a 20% increase, respectively, in the sum of the longest diameter of target lesions, and ""stable disease"" as neither ""partial response"" nor ""disease progression.""   Time frame: Baseline, every 6 weeks until Week 24 and then every 12 weeks until disease progression (up to Week 119) Results 1:    Arm/Group Title: Lapatinib 1250 mg and Capecitabine 2000 mg/m^2   Arm/Group Description: Participants took lapatinib and capecitabine. Lapatinib was orally administered at 1250 milligrams (mg) once daily. Capecitabine was orally administered at 1000 mg per square meter (mg/m^2) twice daily on the first day through the fourteenth day of each 21-day cycle.   Overall Number of Participants Analyzed: 51   Measure Type: Number   Unit of Measure: percentage of participants  59",nan
Entailment,INTERVENTION 1:    Arm I   Patients receive ONTAK IV over 1 hour on days 1-5. Treatment repeats every 21 days for up to 6 courses in the absence of disease progression or unacceptable toxicity.   ONTAK: Given IV   flow cytometry: Correlative studies   immunohistochemistry staining method: Correlative studies   enzyme-linked immunosorbent assay: Correlative studies   laboratory biomarker analysis: Correlative studies   protein expression analysis: Correlative studies,nan
Entailment,"Inclusion Criteria:   Documented progression of incurable, unresectable, LABC, or mBC, defined by the investigator: progression must occur during or after most recent treatment for LABC/mBC or within 6 months of completing adjuvant therapy",nan
